cr_id,filename,sha256,officer_count,tier,label,reasons,has_sustained,complaint_date
1000002,CPD_CR-1000002.txt,c1d2fc293a8145a9bf2c3886414c647adaa674b003323da0fd9ecd9bca6e920a,2,4,brady_weak,UNNECESSARY PHYSICAL CONTACT - OFF DUTY (Unfounded); UNNECESSARY PHYSICAL CONTACT - OFF DUTY (Unfounded),False,2006-09-26
1000004,CPD_CR-1000004.txt,4df75bf0909fa3689be0168bd93987969db3e668d74f623f43490cc230d8a162,2,3,brady_adjacent,Excessive Force (Sustained); Excessive Force (Sustained),True,2006-09-26
1000006,CPD_CR-1000006.txt,8d588e4df7d9ad722502d27e91d7d067a0a48e14cadb2ada3a31e9650e8c4c15,2,4,brady_weak,Excessive Force (Unfounded),False,2006-09-26
1000007,CPD_CR-1000007.txt,23199b606f2760d1577ca0f302790e28ebe41f1231d97d5cff19764dbfb93575,1,0,negative,,False,2006-09-26
1000009,CPD_CR-1000009.txt,4a2e4c6005e29bc8d3436ec1061b0ef47080369780347e58cd4dac4b3e6faa25,12,1,strong_giglio,ILLEGAL ARREST / FALSE ARREST (Sustained); ILLEGAL ARREST / FALSE ARREST (Sustained); ILLEGAL ARREST / FALSE ARREST (Unfounded),True,2006-09-26
1000010,CPD_CR-1000010.txt,0a39f902f8c9b07d6a196f0cea2d9a9e19fa6df0f18da628ab0138579f6d9471,2,2,giglio_relevant,ILLEGAL ARREST (No Affidavit); ILLEGAL ARREST (No Affidavit),False,2006-09-26
1000014,CPD_CR-1000014.txt,d89da00d9d261668a707ad33716d1860fd587b9936212db1506fe71b7042774b,1,0,negative,,False,2006-09-26
1000015,CPD_CR-1000015.txt,466916ba50d351faa7cfb3c52c2f94e10e0fb55f25ea67a1e943e484243282f6,2,4,brady_weak,Excessive Force (Unfounded); Excessive Force (Unfounded),False,2006-09-26
1000016,CPD_CR-1000016.txt,3e01bebf4f53e55aea6fe50bed321446ab11877e3068b2e1180c08432d243118,2,4,brady_weak,Excessive Force (Not Sustained); Excessive Force (Not Sustained),False,2006-09-26
1000018,CPD_CR-1000018.txt,8c49a12e2e2fbd5ffcc3f9850ce2c90da0c3bcb2c20b91ad6468443dfb836ad4,1,0,negative,,False,2006-09-26
1000020,CPD_CR-1000020.txt,f9e20b41fa2f9eac198e57b5997f228783b6a7323321c7343cb6390930e4ff64,1,4,brady_weak,Excessive Force (Not Sustained),False,2006-09-26
1000022,CPD_CR-1000022.txt,640c6f672138c8c18c9ed5def3dc2d2ec3de05a6276b81a6cd340124c0cfd32b,1,4,brady_weak,Excessive Force (Unfounded),False,2006-09-26
1000023,CPD_CR-1000023.txt,1109975ec342a25b872391772f7eb594a30811a92a15673e3647526bdd47ccfe,3,4,brady_weak,Excessive Force (Not Sustained); Excessive Force (Not Sustained); Excessive Force (Not Sustained),False,2006-09-26
1000025,CPD_CR-1000025.txt,e906a40cfb890b721635b011b658bf0646571de85792d541d47193de1ff5be56,1,0,negative,,False,2006-09-26
1000028,CPD_CR-1000028.txt,a05712b9f7a4d84a0678e34317dbfeed71c87e6671a891d9bb93b8df7696f16d,2,0,negative,,False,2006-09-26
1000031,CPD_CR-1000031.txt,ceba6db5edb3e6d4721879692dcd72862a15ee244463cc7d9103aa95dd7b324e,2,0,negative,,False,2006-09-26
1000033,CPD_CR-1000033.txt,7951e08d9e7da343fa943ce4de941ac014c34a06bbe94154f5a10905da381290,1,0,negative,,False,2006-09-27
1000034,CPD_CR-1000034.txt,b9ce8e30968090025aa9e774608c8bf2daea1da1d524f98423316622201c40bd,1,4,brady_weak,Excessive Force (Not Sustained),False,2006-09-27
1000035,CPD_CR-1000035.txt,9780a3071cbe7c39d27a5d8489f6755cd13e8008f1ed9c797359607a08ccf05e,1,0,negative,,False,2006-09-27
1000036,CPD_CR-1000036.txt,77f471c1d25d26549db7e498796aabc07e456c744f5122c9f3438d1430d168c3,2,0,negative,,False,2006-09-27
1000037,CPD_CR-1000037.txt,5edb5379cac13bba99f3cd06656d1dc0371c7a10bddbe09ad3a815e98af781b4,2,0,negative,,False,2006-09-27
1000042,CPD_CR-1000042.txt,dc3d50bb4469f821397d05a7911ddb5ebb0191753ace884516213a578509fc97,1,0,negative,,False,2006-09-27
1000043,CPD_CR-1000043.txt,fbccef33a8aa7633af13e3344c9d56472de086664284bf1404a5123096ed4308,6,0,negative,,False,2006-09-27
1000052,CPD_CR-1000052.txt,9baccfffeec435defaa067611ab250763f29744b0b92b0752ec49154e2c38315,2,0,negative,,False,2006-09-27
1000054,CPD_CR-1000054.txt,2755fd9cc3b1b3cd0a6860e9e48752f9d48a871460427e04193927c0e28c2277,2,0,negative,,False,2006-09-27
1000062,CPD_CR-1000062.txt,22c13a34755edb91ff4eb3747110932a9b92e39db12656aee99ff26ccd9dc04c,1,0,negative,,False,2006-09-28
1000065,CPD_CR-1000065.txt,1eae87a7b4b6893886260fae340ee8cec830e5e25a05b0339f6ce6f50f104e01,2,0,negative,,False,2006-09-28
1000066,CPD_CR-1000066.txt,44147ec01a85b3d9948bb2845c3f6601837d8ac8aed3c3baa58017beafc66648,2,0,negative,,True,2006-09-28
1000067,CPD_CR-1000067.txt,13681da4a22bb59ff0867a38bd2eba2207991ab22868031b52e68b2090cfb550,1,2,giglio_relevant,ILLEGAL ARREST (Unfounded),False,2006-09-28
1000068,CPD_CR-1000068.txt,a5dafe4a283f560b3f5b29875ac8fa58431d89b5c648a2d78fe4c61f27bb5b25,2,4,brady_weak,Excessive Force (Not Sustained); Excessive Force (Not Sustained),False,2006-09-28
1000069,CPD_CR-1000069.txt,14dc1be312838376a383e9ad79db89ce8d26411c4d9efad979c6e077883fc813,1,4,brady_weak,Excessive Force (Unfounded),False,2006-09-28
1000073,CPD_CR-1000073.txt,f33bc0fe75dc7b909ffef7eaeab52ee24b3bc31bee7d2f0185fd57a9571954a3,3,0,negative,,True,2006-09-28
1000080,CPD_CR-1000080.txt,8110fcadeda4d01811bf9fefdc7c8010be1816826db7905de5adb60f933bc0b3,1,0,negative,,True,2006-09-29
1000082,CPD_CR-1000082.txt,15177b6a4702ae98bc5a7308bbcac1b17dbc1cbfa2839eb80e967b61084d3d60,3,0,negative,,False,2006-09-29
1000085,CPD_CR-1000085.txt,b1151bc10b8b5d31dd56e17bfc040e485068ce811ca743729a2bbd855fa2628d,1,4,brady_weak,Excessive Force (Not Sustained),False,2006-09-29
1000092,CPD_CR-1000092.txt,e3da0c9ee526afd59490625178ea210d4198370239ead1a80aec7db3f6eb5574,1,0,negative,,False,2006-09-29
1000094,CPD_CR-1000094.txt,78ab8e2acd8b4992d4f9f60d8c1cbd2f1058648f939c964c60c36fa6425668ab,1,3,brady_adjacent,Excessive Force (Sustained),True,2006-09-29
1000096,CPD_CR-1000096.txt,e3ff5ec128afeef698bf054ef01b93d24c708aac3f7957e233c4b3030041a2e6,1,0,negative,,False,2006-09-29
1000097,CPD_CR-1000097.txt,6ecd1002ce40ce63a3e5d54364817f8d8967bb08abe7920f523e1df02af53253,1,0,negative,,True,2006-09-29
1000098,CPD_CR-1000098.txt,10ced612325574dfceca70b50983a631c0c5ca3dd528d68e8a71843fa0493d73,1,0,negative,,False,2006-09-29
1000101,CPD_CR-1000101.txt,884fdc9fa1e074c381415250f807aa914e8a90ffb65dce338805f0f612c500ba,1,0,negative,,False,2006-09-29
1000102,CPD_CR-1000102.txt,d7f232f3eb95e3570ff62007a22b95e1b06221f66882a788c62c9a6aaa83a127,1,0,negative,,False,2006-09-29
1000104,CPD_CR-1000104.txt,cddfe2bf84ed75539d8af430f18aa76da69a13d254ac49af052157dde559623f,1,4,brady_weak,Excessive Force (Unfounded),False,2006-09-29
1000105,CPD_CR-1000105.txt,eac3d3cf9e6b73aab037e54dc6b9185ad1c4e21f8243f7d106faea2192b96491,1,0,negative,,False,2006-09-29
1000108,CPD_CR-1000108.txt,4c49785cf77ec2fa6f8ed3dee9e02deaf358e4976750358768468c081fc1080e,1,0,negative,,False,2006-09-29
1000111,CPD_CR-1000111.txt,029b57b55b3484ecd9d65f18b7d984c72714ed93ed5d3cec970f85b0cf69c57f,2,0,negative,,False,2006-09-30
1000112,CPD_CR-1000112.txt,3de35cf7937e98039234fb15d0616b5166b5da066caeddeb60fcf179967462f2,2,0,negative,,False,2006-09-30
1000116,CPD_CR-1000116.txt,0c2f45a3088bdcb151304de1d5f76768a4c1d3a195b2132b9cf2c0542eca90f3,1,4,brady_weak,UNNECESSARY PHYSICAL CONTACT - ON DUTY (Unfounded),False,2006-09-30
1000118,CPD_CR-1000118.txt,e426ee1444b570662d4cfea90b6148e5306b19849a31ade6e8b7a8cfbb83e283,1,0,negative,,False,2006-09-30
1000122,CPD_CR-1000122.txt,21d980a7b1a389b6a5c53d022cb0a10c290cf305e01df5a8ebea3631b1f7e92d,1,0,negative,,False,2006-09-30
1000123,CPD_CR-1000123.txt,72cbe9b22319d4fa8bd8ce22720e3486d0e75c66181c28580a7cadffc20822f4,1,4,brady_weak,Excessive Force (Not Sustained),False,2006-09-30
1000130,CPD_CR-1000130.txt,3750cf69e80c29177b626ddcfd9be42577ad719ed09414777010a85f224f444a,2,4,brady_weak,Excessive Force (Not Sustained); Excessive Force (Not Sustained),False,2006-09-30
1000136,CPD_CR-1000136.txt,16b2dfdcc5bb05cea7b4d56773be2f9263311c25df7439683954e953a385875c,2,2,giglio_relevant,ILLEGAL ARREST / FALSE ARREST (Unfounded); ILLEGAL ARREST / FALSE ARREST (Unfounded),False,2006-10-01
1000138,CPD_CR-1000138.txt,42c8f49888c74081477394551d43ada80972a96d99cf03e9ba3db45ef9fd9739,1,0,negative,,False,2006-10-01
1000140,CPD_CR-1000140.txt,bc5bdf6bb4f5be4727767505981eee206f441986db5a2a76fbe7da1a0951bc9c,3,2,giglio_relevant,ILLEGAL ARREST (Exonerated); ILLEGAL ARREST (Exonerated); ILLEGAL ARREST (Exonerated),False,2006-10-01
1000141,CPD_CR-1000141.txt,db96fecbecdef308697d3283f633d19373665803319077ed1df20b50624d9175,1,0,negative,,False,2006-10-01
1000143,CPD_CR-1000143.txt,f502887c088587009d6017822224a36f9d0594cd0bdd7061475d805ee31f0844,2,0,negative,,False,2006-10-01
1000146,CPD_CR-1000146.txt,03a26d8af2434167082d207bf3c63bd27edde4489791abb6528053c4db18f733,2,0,negative,,False,2006-10-01
1000150,CPD_CR-1000150.txt,2a192f2477e0329bfbd153cf35260aae900bc51d58002869f678c9ec5d782c28,1,0,negative,,False,2006-10-01
1000153,CPD_CR-1000153.txt,c8c29f517e978f963c265b5f41a6918c8cd99df40da7bfb741135dae85aaeacc,1,0,negative,,False,2006-10-01
1000154,CPD_CR-1000154.txt,8e3b83da570a4bd6efa393a47f7a31437af7e0be6fccfd72c48eb7f90a5af758,2,2,giglio_relevant,ILLEGAL ARREST (No Affidavit); ILLEGAL ARREST (No Affidavit),False,2006-10-01
1000159,CPD_CR-1000159.txt,660cfcb086c2eacf604af265a2066cbb78b670e3be7e8e25b564803c3830539e,1,0,negative,,False,2006-10-02
1000161,CPD_CR-1000161.txt,8e17744ae0ddfadb0f47b43184e4089f34068bed96a8f4ae9ea09dec366e8bb4,1,0,negative,,False,2006-10-02
1000163,CPD_CR-1000163.txt,60e967eb471bfd931f6d31fcf411e805fb41d3a8439999598b1339c51b6664c7,1,0,negative,,False,2006-10-02
1000166,CPD_CR-1000166.txt,1c90d05eab02fe0d817953d124a1ce1f018d5e577adba8632bb3a6cdfa0b443d,2,0,negative,,False,2006-10-02
1000168,CPD_CR-1000168.txt,6e0a6bab4d4739b08dd67f5813f066edae6c30b567e107aa67d76a5f872a1b0e,1,0,negative,,True,2006-10-02
1000172,CPD_CR-1000172.txt,145fa20b49012757a3293de9f3d7fd7d0b4a7e28eaf16f0d6a4ec17d97bdfbe1,2,0,negative,,False,2006-10-02
1000173,CPD_CR-1000173.txt,72caa51019855c464b07fd7e8c798610071a1a1143d97b7e7d939c21e1563b99,2,4,brady_weak,Excessive Force (Not Sustained); Excessive Force (Not Sustained),False,2006-10-02
1000175,CPD_CR-1000175.txt,c55248a6326e623b617d6a376fb9c166898324424ab147a8df57da05bd4866d1,2,0,negative,,False,2006-10-02
1000183,CPD_CR-1000183.txt,ee8152e5e008ac649920db88a04592e99224f1c568c5a3d60ec934a86e4be25c,4,0,negative,,True,2006-10-03
1000184,CPD_CR-1000184.txt,720d7c2613f8367a084b61d3e798b2d1ee5277a56455b122c46ae5936a978127,2,0,negative,,False,2006-10-03
1000193,CPD_CR-1000193.txt,ffdabd6c3711ac95b86fce880f5a3ddfc173f657a1a488e4eecec4e10e14d12a,1,2,giglio_relevant,ILLEGAL ARREST (No Affidavit),False,2006-10-03
1000195,CPD_CR-1000195.txt,29a1e65fe39fb00ab583ead3ab4f89046d67ef31c38f032dedde48de97616baf,1,4,brady_weak,Excessive Force (Not Sustained),False,2006-10-03
1000196,CPD_CR-1000196.txt,0e3ce3dcb645374e2fa03a69ae912a675ddab2b4d8bfcbad901518801a9ef507,1,0,negative,,False,2006-10-03
1000197,CPD_CR-1000197.txt,a600ac06ff74af81afd37ef70d3e1c30ac43a0e2d539f5a08c6f9c9575e4df9e,1,0,negative,,True,2006-10-03
1000199,CPD_CR-1000199.txt,9919f23221effff9397887c1f7359cfc87351be4c81812b69e5ed5286a504ec3,2,0,negative,,True,2006-10-03
1000200,CPD_CR-1000200.txt,7326161bd13d23d49523bc9a72dad81f9e89cd3af95eb8b95259c392b66621cc,1,0,negative,,False,2006-10-03
1000201,CPD_CR-1000201.txt,f1898f28dbd5be67600d043b7ef6bee72e5abce14b99bdd39bdfc76a09dcb62d,1,4,brady_weak,Excessive Force (Unfounded),False,2006-10-03
1000202,CPD_CR-1000202.txt,78122eb1a769e3eeccd86aaece1edd1202de0dc46b4cf26fac1f6e0722066caa,1,0,negative,,False,2006-10-03
1000203,CPD_CR-1000203.txt,46ff67f1ee6bc09a92d0a4755343bb0ace13a5a2b50b0347d141654088eff8c4,1,0,negative,,False,2006-10-03
1000205,CPD_CR-1000205.txt,49aa597c580e257ec7b29df17c7bd3d2a36f30424373da982ce4d3f8a20e71ca,2,0,negative,,False,2006-10-03
1000206,CPD_CR-1000206.txt,cf0e1d68c762360e18a4d79e4357846181a6013f09992fe93085aef07c34ddae,1,0,negative,,False,2006-10-03
1000207,CPD_CR-1000207.txt,b535cf1b3d4cc97b78c4336240703d349f02657a2ba7d4dc25b6d5d7013312e9,1,4,brady_weak,Excessive Force (Not Sustained),False,2006-10-03
1000209,CPD_CR-1000209.txt,0353df9ac227815107d00258d10c80492f8dc3ebc0d2d568a25f63dabad0c8d0,2,3,brady_adjacent,Excessive Force (Sustained); Excessive Force (Sustained),True,2006-10-04
1000212,CPD_CR-1000212.txt,ff8baca5929218afd73046095b011d2ebcec04453b6944dbbd4c5360276d0284,1,0,negative,,True,2006-10-04
1000214,CPD_CR-1000214.txt,7e2eb455f6b13a3d1b03a87b746cda8baaf46d00bc34820739175cac155e4193,6,0,negative,,True,2006-10-04
1000216,CPD_CR-1000216.txt,1c253d4da1ce9deec3b913a9507da0cab499310fdb0d00abcc26b21f0354fc5d,1,2,giglio_relevant,ILLEGAL ARREST (No Affidavit),False,2006-10-04
1000224,CPD_CR-1000224.txt,b57e23fe223c0f7c5d1d0ff0a07912c397deccbeb51bb6c2a529906d5ffd254f,2,4,brady_weak,Excessive Force (Not Sustained); Excessive Force (Unfounded),False,2006-10-04
1000227,CPD_CR-1000227.txt,7636f60da2e52ac3bc4c91b17c8f999afbbd052bd67ffa4790f31c78bfc43d85,9,0,negative,,True,2006-10-04
1000230,CPD_CR-1000230.txt,c32250648e554deed4528f05b5c3e4ea4a2aa8fb2f3a5c5bd694b2b5de7a4500,1,0,negative,,False,2006-10-04
1000231,CPD_CR-1000231.txt,0f2108044e6e420808ee68d1804f51b140e490c53405275313eb8bf297151b4b,2,0,negative,,False,2006-10-04
1000235,CPD_CR-1000235.txt,4f63f0cf9da21277f6ba88cd05c85a5f88f4698e7212f2f758ad3bc44a485da4,1,0,negative,,False,2006-10-05
1000239,CPD_CR-1000239.txt,4962a91b12186afa2f15f75c2c53d062efb8dae46b6c986ffd09a6d3b77639d2,1,0,negative,,True,2006-10-05
1000244,CPD_CR-1000244.txt,c5b314ea73e4eb788696c8d716b0a5edfd4ccbb2b73338ee7beddfc1d66135bc,1,0,negative,,False,2006-10-05
1000247,CPD_CR-1000247.txt,07578448c1d7d286910a0bc0c492b8afe5a9e13e7ef22f6ab669fc8715d8e6b1,1,0,negative,,False,2006-10-05
1000248,CPD_CR-1000248.txt,59257a2748f4e077d6a6af9c1991fdb880cdc81c190c5416d287096eb81e91f9,2,4,brady_weak,Excessive Force (Unfounded),False,2006-10-05
1000249,CPD_CR-1000249.txt,7bfb31b2fda2a2125605d908de437308e4768336314586622c299f5bc5fdc453,2,0,negative,,False,2006-10-05
1000250,CPD_CR-1000250.txt,e944b69d25cec6113017fcbe850f039199992480cbac81d5770133a87458a5ac,1,4,brady_weak,UNNECESSARY PHYSICAL CONTACT - ON DUTY (Unfounded),False,2006-10-05
1000252,CPD_CR-1000252.txt,5c807af73204748296798d33cfe50e82e0a3a52a24ffe3b7dacd9c28c35a1451,1,0,negative,,False,2006-10-05
1000255,CPD_CR-1000255.txt,b37f894da82d7d83c6f796585e04503ddd0dae255b6dcf78df5c1dd06d01743f,2,0,negative,,False,2006-10-06
1000256,CPD_CR-1000256.txt,6ab81af74cfef4de94ea0c3ad19aec5f10db12cc273979155e2cbd7b04774f57,2,2,giglio_relevant,ILLEGAL ARREST (No Affidavit); ILLEGAL ARREST (No Affidavit),False,2006-10-06
1000258,CPD_CR-1000258.txt,79e4677a40c7e26c72107b7c419c166f42ad56393f13588b6d9d5796a93b5f09,5,2,giglio_relevant,ILLEGAL ARREST / FALSE ARREST (Unfounded); ILLEGAL ARREST / FALSE ARREST (Unfounded); ILLEGAL ARREST / FALSE ARREST (Unfounded),False,2006-10-06
1000260,CPD_CR-1000260.txt,6a50054e039abca0b4a8e5e0d861a5d44039ec2792307197d76d82f8e3c5cee1,2,0,negative,,False,2006-10-06
1000263,CPD_CR-1000263.txt,19b395d7596fd68ad808fb9385c506519a19debd3db4aa991f849c50d2a78aa9,1,0,negative,,False,2006-10-06
1000265,CPD_CR-1000265.txt,541b45c286e6626e0ecb35bc6262597464672f7c270ed746c6012d5913c45c84,2,0,negative,,False,2006-10-06
1000268,CPD_CR-1000268.txt,180b57106495bf194929e3bd363c35c51988c4659470fc58d911e83658623116,2,4,brady_weak,Excessive Force (Not Sustained); Excessive Force (Not Sustained),False,2006-10-06
1000269,CPD_CR-1000269.txt,7315ec16a913423ec51cdb0637faa62040bb154a365245bb6aaafdb7947b9db6,1,0,negative,,False,2006-10-06
1000270,CPD_CR-1000270.txt,1db0fc6d5f4d07803c764de3d99394be7fd70675f93309b4a3c17241c0a343da,1,0,negative,,False,2006-10-06
1000274,CPD_CR-1000274.txt,44dff7aabcbb211bab7379363dd35086f8c51061e3492fe7eeb5341fc4eab996,1,0,negative,,False,2006-10-06
1000277,CPD_CR-1000277.txt,468e1f7125822ff74be2ad32bff23420197fd1dd7212db177e5929b966060e91,1,0,negative,,False,2006-10-06
1000280,CPD_CR-1000280.txt,bebde68530121522f7c72db950f22e022ab1c73c15b265f1d9b147bd1faec097,2,0,negative,,True,2006-10-07
1000282,CPD_CR-1000282.txt,9043d2f42b0f1bf9385f560e1fcbd4cee02331f99d30b63b8ddf2778bf23be9c,2,0,negative,,False,2006-10-07
1000291,CPD_CR-1000291.txt,b358c15d0b19062e3ec8f552c641ab6b4a5286987c2cf673d1bf424408e7cb1e,1,0,negative,,False,2006-10-07
1000294,CPD_CR-1000294.txt,28449cffba2deb576376afbd8b54157e0c95b970618f1fa37f4d609ddcdbab51,1,0,negative,,False,2006-10-07
1000295,CPD_CR-1000295.txt,51336910b80977ca397455bf15c95ae7183bfc3339d281538dc741a601ce8bd7,1,0,negative,,False,2006-10-07
1000296,CPD_CR-1000296.txt,886a143947cfddd8dba9e344dc2075362f65c1faf47ff8ee15357e1ff2f3b3da,2,0,negative,,False,2006-10-07
1000297,CPD_CR-1000297.txt,0506c2fd1f10e982599852ed4b8b820b4c02862b4c82b7c552e47359b2f228ba,2,0,negative,,False,2006-10-07
1000299,CPD_CR-1000299.txt,7a910a52fa7248922cc718545c60e467e6c8c55eaeb6a05d3054c022fc096899,1,0,negative,,False,2006-10-07
