complaint_id,filename,sha256,classification,tier,label,reasons,officer_count,has_sustained,incident_date
20-0001,PPD_20-0001.txt,7845a9b97dfe782736317d43e438837487ba832de9980c41f654f70ba6ddddab,VERBAL ABUSE,0,negative,,2,False,2020-01-01
20-0002,PPD_20-0002.txt,cdc46618164eb969a615f0d24a70219dcd256a0720391d8cf4395f202408c79b,DEPARTMENTAL VIOLATIONS,0,negative,,2,False,2019-08-09
20-0003,PPD_20-0003.txt,f22051c3f1315af5b29ae6cfce1527da30ad6bb50433bf339f0771dbed44e057,DEPARTMENTAL VIOLATIONS,0,negative,,1,True,2019-11-21
20-0004,PPD_20-0004.txt,9b19f3d6affd4a670c5fc6bc1fde690154ba22b44fb2a730d2d3b5e17edbf5d2,DEPARTMENTAL VIOLATIONS,0,negative,,4,True,2019-12-09
20-0005,PPD_20-0005.txt,506c7ebe9e8800abb8782d3ada47437d5e0c02665c6108fa208df894bacd060d,DEPARTMENTAL VIOLATIONS,0,negative,,11,False,2020-01-02
20-0006,PPD_20-0006.txt,4e62049e64b7a77dcbf3011290d6d108476c32dfdcfd469cd0404dbaa18c0589,DEPARTMENTAL VIOLATIONS,0,negative,,6,False,2020-01-04
20-0007,PPD_20-0007.txt,ca41f3f126cf1ff0284b9157aa20fcbab3e24176fd4bff738ea0db97f5be6742,DEPARTMENTAL VIOLATIONS,0,negative,,2,True,2019-04-17
20-0008,PPD_20-0008.txt,1c92218083ff4adc343e757008f23357e76279badd2d6ae303db9559f86f196f,DEPARTMENTAL VIOLATIONS,0,negative,,2,True,2020-01-07
20-0009,PPD_20-0009.txt,0bc92be87e4a235c4891e87224293297a8350276fce476e4d20d4d8e4ceb139f,LACK OF SERVICE,0,negative,,1,False,2019-12-13
20-0010,PPD_20-0010.txt,c6c47840def5d9a63e8804d7e25ab943d858f8730688f89a5174723936076659,LACK OF SERVICE,0,negative,,2,True,2019-05-21
20-0011,PPD_20-0011.txt,5cde0bcdadfa1d8785a737466dcc127d971fd0803635741abf77f15e2db9bd90,DEPARTMENTAL VIOLATIONS,0,negative,,4,True,2019-12-30
20-0012,PPD_20-0012.txt,f5b0ac05ba91040e39e6f3407c161227e78de7398634aea02f89c659055ecf1f,CIVIL RIGHTS COMPLAINT,3,brady_adjacent,CIVIL RIGHTS COMPLAINT with sustained finding,7,True,2020-01-04
20-0013,PPD_20-0013.txt,e50756ab12544b5b631d185c0ce84850297e3b9b21584ac452b11b2fdf7087e1,DEPARTMENTAL VIOLATIONS,0,negative,,8,True,2020-01-06
20-0014,PPD_20-0014.txt,a83dbecf4e86df83863bea873e248066b69022db5fceedb58ba37c16aa9781cc,DEPARTMENTAL VIOLATIONS,0,negative,,3,True,2019-11-20
20-0015,PPD_20-0015.txt,35e71e689e9739b17b5de0ec14b25bea6a851abc22eaa1c1495ec876afca3935,PHYSICAL ABUSE,3,brady_adjacent,PHYSICAL ABUSE with sustained finding,3,True,2020-01-09
20-0016,PPD_20-0016.txt,2a13370c14de5219113b03972beb28a1791df539cd7f79bbf2dca0bb4b6a7663,HARASSMENT,0,negative,,3,False,2020-01-12
20-0017,PPD_20-0017.txt,929649580eca6476475d59a406c598ace53167c64c54f661dbb4a45df96deb63,DEPARTMENTAL VIOLATIONS,0,negative,,3,True,2020-01-12
20-0018,PPD_20-0018.txt,880a1a5c25e39f39ef1517f355e9968acca07d850974a48f3a487dcc1b425399,DEPARTMENTAL VIOLATIONS,0,negative,,10,True,2020-01-08
20-0019,PPD_20-0019.txt,b8570ae72d6a90209bae0b753b1f1c21a174bd4ddbf541cf7e03f2626b4a9280,VERBAL ABUSE,0,negative,,5,False,2020-01-09
20-0020,PPD_20-0020.txt,44228333e48a1f40ea6cb82671b673a3495dbb26476eb7d87992216148c0514e,PHYSICAL ABUSE,3,brady_adjacent,PHYSICAL ABUSE with sustained finding,13,True,2020-01-04
20-0021,PPD_20-0021.txt,e79b1ca489c6fa5c8a2d8a287d308b996a9910ecf1306d6b92a164437344ed2c,HARASSMENT,0,negative,,2,False,2019-08-03
20-0022,PPD_20-0022.txt,c37529ad76836d27e55e851f7851bc7bd0b5d4f42338cc79aef91ca713a5b5fc,HARASSMENT,0,negative,,3,True,2019-12-16
20-0023,PPD_20-0023.txt,e76e791ab2cbd7ead361e21d8a886c52258fc7fb2e10eb76cbc9cfa7b41532e4,DEPARTMENTAL VIOLATIONS,0,negative,,2,False,2019-07-06
20-0024,PPD_20-0024.txt,ed2b9a9b1ec04f431c6e37b19714ec9d3283447cb09fdde1a0817f9612924a1a,DEPARTMENTAL VIOLATIONS,0,negative,,4,True,2020-01-17
20-0025,PPD_20-0025.txt,9684293aab09cc5d20ad391a831777655423ce421dc8d495824b3efe5eff84eb,SEXUAL CRIME/MISCONDUCT,0,negative,,1,True,
20-0026,PPD_20-0026.txt,5ac34d128cdc8120570baf4ef1fd02f8cfc42ba79ff44a8df3c743a2a344e7c5,LACK OF SERVICE,0,negative,,2,False,2020-01-16
20-0027,PPD_20-0027.txt,79e19e92b86a4bc165397334cf264e4479479aa485f072ff30e0367da5085eda,NON-INVESTIGATORY INCIDENT,0,negative,,2,False,2020-01-18
20-0028,PPD_20-0028.txt,9601782726f709ebe56fbd6a1cdb09f0173f525f9cd58c54fae70b9f0df63e2f,DEPARTMENTAL VIOLATIONS,0,negative,,3,True,2020-01-16
20-0029,PPD_20-0029.txt,a99135186f9735e71d5af5c55d325b59193019d6fcadc7248018c1d4444ec264,VERBAL ABUSE,0,negative,,21,False,2019-11-07
20-0030,PPD_20-0030.txt,a7e1132dec81694875d45b3f0c0208c77a8a8ab19a65deab60d4b72c4ddfc84c,DEPARTMENTAL VIOLATIONS,0,negative,,1,False,2019-11-04
20-0031,PPD_20-0031.txt,0def8f8ecc934c23eb2d0f99aceea66b1bb781cbee992ca191ddede1715b4a23,PHYSICAL ABUSE,0,negative,,4,False,2018-02-10
20-0032,PPD_20-0032.txt,1776f7e65ef3559b836871fa087d83dec74c4bbb77b6be3193ffb78b4dfb13c0,DEPARTMENTAL VIOLATIONS,0,negative,,2,True,2020-01-21
20-0033,PPD_20-0033.txt,b8318a803d024333063c6ea8d04ec0cd184ada9efc5101be1acc2129c7787552,VERBAL ABUSE,0,negative,,2,True,2020-01-17
20-0034,PPD_20-0034.txt,bb9b5135eb0b9d9780946fcaf6ac8a86079ad4b8af741d6a0a8d9fcdf9a80db3,CRIMINAL ALLEGATION,2,giglio_relevant,Classification: CRIMINAL ALLEGATION,5,False,2020-01-13
20-0035,PPD_20-0035.txt,05924a0703f6d4c7161b4a5651e16262b4f2bc3ce0cf196e8c39c348303e355e,NON-INVESTIGATORY INCIDENT,0,negative,,1,False,2020-01-13
20-0036,PPD_20-0036.txt,0e64bcc1d77a5318ea4fac7bda1721ecae71bde7e2195002be0c3851a3e544ce,LACK OF SERVICE,0,negative,,3,True,2020-01-23
20-0037,PPD_20-0037.txt,302dfd090f554904974acddefcd32c48d81b431a404c247e773b1bf885f58fae,DEPARTMENTAL VIOLATIONS,0,negative,,5,True,2020-01-02
20-0038,PPD_20-0038.txt,7c9d78ae3f6124eb93763872570e052c8e36117852865188727fa8d922c43acf,DEPARTMENTAL VIOLATIONS,0,negative,,3,False,2020-01-23
20-0039,PPD_20-0039.txt,02890d13279e0c20985859cf6d25e6de48794de94f42be83ef9cf110854dc29f,LACK OF SERVICE,0,negative,,5,True,2020-01-25
20-0040,PPD_20-0040.txt,180e92c45e0e42e0a0d01a53a4a511cb9e71b3810eacdb24346be3c6cdda9be7,DEPARTMENTAL VIOLATIONS,0,negative,,2,False,2020-01-26
20-0041,PPD_20-0041.txt,a8592937c040b6fe58195b627ab3ca6761b4a0c3035b8d2f26acb6877c4d84fa,LACK OF SERVICE,0,negative,,1,False,2020-01-10
20-0042,PPD_20-0042.txt,e4077f862b116fe208b0331ede69a315b2eabdd6b166df557efd66ef86d51d1a,HARASSMENT,0,negative,,2,True,
20-0043,PPD_20-0043.txt,b270b01f4b75b8bbb69e33fb20db20580e5e3abab530dd57be1e4988638cfe78,PHYSICAL ABUSE,0,negative,,4,False,2003-02-13
20-0044,PPD_20-0044.txt,c285587c3f332f319714ffa837da46b2f9ea7886fa95ac53d4943930694948c7,DEPARTMENTAL VIOLATIONS,0,negative,,6,True,2020-01-27
20-0045,PPD_20-0045.txt,e1a529eee013bbdf9af5acb521b95fdaafde11f1fcf2789feb85b76dab98635c,CIVIL RIGHTS COMPLAINT,0,negative,,12,False,2020-01-27
20-0046,PPD_20-0046.txt,4b25b7953e4d6d9930cd8965afbace090c4ec9bd3370247ad9dc5e5d54637eea,VERBAL ABUSE,0,negative,,1,False,2020-01-24
20-0047,PPD_20-0047.txt,07ad3fbfe85df57158c891f89b5c17d96b64d0c19ce603949139b87c2d327ec9,DEPARTMENTAL VIOLATIONS,0,negative,,9,False,2020-01-27
20-0048,PPD_20-0048.txt,c2f9184534f86efa6558f03b4102e267a2a82a612b6f56fef39ff8127f86da57,PHYSICAL ABUSE,1,strong_giglio,Criminal Allegation (No Sustained Findings); Criminal Allegation (No Sustained Findings); PHYSICAL ABUSE with sustained finding,2,True,2019-01-31
20-0049,PPD_20-0049.txt,1b7ba9267a0798401921ebb5c1aa16bcce1497994f0059b0e4a86e736ba10e53,VERBAL ABUSE,0,negative,,1,True,2019-01-31
20-0050,PPD_20-0050.txt,e6b0adb0e9e2291cc5078f85dcafb90fe1dfa1bb8c1eeb0a77a5180f54187687,PHYSICAL ABUSE,0,negative,,2,False,2020-01-13
